outcome.test.score,treatment,school,is.female,mother.attended.secondary.school,father.attened.secondary.school,failed.at.least.one.school.year,family.receives.cash.transfer,has.computer.with.internet.at.home,is.unemployed,has.some.form.of.income,saves.money.for.future.purchases,intention.to.save.index,makes.list.of.expenses.every.month,negotiates.prices.or.payment.methods,fincial.autonomy.index
54.16345596,0,17018390,1,1,1,1,0,1,0,1,0,28,0,0,35
66.3211441,1,17014727,1,1,1,0,0,0,1,1,0,61,0,0,3
64.43413544,1,53002598,1,0,0,1,0,0,0,1,0,53,0,0,12
73.54804993,0,35006567,1,1,0,0,0,0,0,1,0,54,0,1,52
75.02925873,0,33079374,1,0,0,0,0,,0,0,0,47,0,0,18
62.85481644,0,53007492,1,1,1,0,0,0,0,1,0,51,0,1,52
69.54883575,0,33014760,1,1,1,0,0,0,1,1,0,26,0,0,58
36.69468689,1,33106630,1,0,1,1,0,1,0,1,0,55,0,1,90
51.19591522,0,33086613,1,1,1,1,0,0,0,0,0,71,0,0,27
39.23936844,0,33106681,1,0,0,0,0,0,0,1,0,24,0,0,
61.36612701,0,35012026,,,,,,,0,1,0,29,0,1,31
48.39169312,0,53019806,1,1,1,1,0,0,0,0,0,55,0,1,31
65.72054291,1,35010686,1,0,0,0,0,0,0,0,1,25,0,1,27
41.22390747,0,35012348,1,1,0,0,1,0,0,0,0,50,0,1,69
46.95391083,1,35012300,,,,,,,0,1,0,19,0,0,
56.78973389,0,33028109,1,1,0,0,0,0,0,1,0,37,0,1,27
38.10821533,0,33058741,1,0,0,1,1,,0,1,0,59,0,1,77
58.46463776,0,23169413,1,1,1,0,0,0,0,1,0,55,0,0,50
52.95252991,1,17034027,1,0,0,0,1,1,1,1,0,54,0,1,69
41.7743721,0,23163402,1,1,1,0,1,0,0,0,0,32,0,1,86
43.88679886,0,33018340,1,0,0,0,1,0,0,1,0,53,0,0,39
55.3527298,1,35011782,1,0,1,0,0,0,1,1,0,30,0,0,3
80.82081604,1,33018910,1,0,1,0,1,1,1,1,0,57,0,1,69
59.98067474,1,17004950,1,0,0,0,0,1,1,1,0,49,0,1,14
59.37514877,0,33008841,1,0,0,0,0,1,0,0,1,46,0,1,77
67.82019806,0,35924465,1,0,0,0,0,1,1,1,0,56,0,0,29
63.48489761,1,33097046,0,0,1,0,0,1,0,0,0,23,0,1,29
34.83330917,0,33058180,1,0,0,1,0,1,0,1,0,20,0,0,29
50.89915085,1,35911331,1,1,1,1,1,1,1,1,0,45,1,1,52
64.08802032,0,35006567,1,0,0,0,0,0,0,1,0,64,0,0,39
61.686306,1,35012324,,,,,,,1,1,1,53,0,1,50
72.32775116,0,35009003,1,0,0,0,0,0,0,0,0,45,0,1,-11
